名称,来源,页码,体型,类型,阵营,AC,HP,速度,力量,敏捷,体质,智力,感知,魅力,豁免骰,技能,伤害易伤,伤害抗性,伤害免疫,状态免疫,感官,语言,CR,特质,动作,附赠动作,反应,传奇动作,神话动作,巢穴动作,区域效应,环境,宝藏
巨神兵,MM'25,76,超巨型,构装 (泰坦),无阵营,23,553 (27d20 + 270),60 尺,30,11,30,3,11,8,"Dex +8, Wis +8",,,"暗蚀, 光耀","毒素, 心灵","中毒, 力竭, 恐慌, 昏迷, 石化, 震慑, 魅惑, 麻痹","真实视觉 300 尺, 被动察觉 10",理解天界语及通用语，但不会说,"25 (XP 75,000; PB +8)","不变形态 Immutable Form. 巨像不能变形。

传奇抗性（4/日） Legendary Resistance. 巨神兵豁免失败时，可以将其改为豁免成功。

攻城怪物 Siege Monster. 巨神兵对物件和建筑物造成双倍伤害。

魔法抗性 Magic Resistance. 巨神兵对抗法术和其他魔法效应时进行的豁免检定具有优势。","多重攻击 Multiattack. 巨神兵使用猛击或光耀射线发动共计三次攻击。

猛击 Slam. 近战攻击检定:： +18，触及 20 尺。命中: ：32（ 4d10 + 10 ）钝击伤害，且巨神兵将目标直线推离至多 20 尺。

光耀射线 Radiant Ray. 远程攻击检定:： +18，射程 300 尺。命中: ：22（ 4d10 ）光耀伤害。若目标生物体型不超过大型，则其陷入倒地状态。

神能光束炮(充能 5–6) Divine Beam. 敏捷 豁免检定: DC 26，300尺长、10尺宽的线状区域内的每名生物。失败: 65（10d12）光耀伤害。成功: 半伤。失败或成功: 若生物因光束炮生命值降至0，则其被解离为尘埃，留下其着装或携带的任意魔法物品。",,,"圣裁 Smite. 巨神兵发动一次光耀射线攻击。

践踏 Stomp. 巨神兵移动至多等于其速度一半的距离且不会引发借机攻击，且移动过程中其可以在任意时刻发动一次猛击攻击。",,,,任何,圣物
巨秃鹫,MM'25,361,大型,怪兽,中立 邪恶,10,25 (3d10 + 9),"10 尺, 飞行 60 尺",15,10,16,6,12,7,,察觉 +3,,暗蚀,,,"黑暗视觉 60 尺, 被动察觉 13",理解通用语，但不会说,1 (XP 200; PB +2),集群战术 Pack Tactics. 若巨秃鹫的攻击目标生物5尺内存在有至少一名巨秃鹫未失能的盟友，则巨秃鹫对该生物进行的攻击检定具有优势。,喙凿 Gouge. 近战攻击检定: +4，触及5尺。命中: 9（2d6 + 2）穿刺伤害，且目标陷入中毒状态直至其下个回合结束。,,,,,,,"丘陵, 草地, 荒漠",
巨章鱼,MM'25,358,大型,野兽,无阵营,11,45 (7d10 + 7),"10 尺, 游泳 60 尺",17,13,13,5,10,4,,"察觉 +4, 隐匿 +5",,,,,"黑暗视觉 60 尺, 被动察觉 14",—,1 (XP 200; PB +2),水下呼吸 Water Breathing. 巨章鱼只能在水下呼吸。其可以在空气中屏息一小时。,触须 Tentacles. 近战攻击检定: +5，触及10尺。命中: 10（2d6 + 3）钝击伤害。若目标生物体型不超过中型，则其被全部八条触手擒抱，陷入受擒状态（逃脱DC 13）。受擒期间，目标还会陷入束缚状态。,,墨云（1/日） Ink Cloud. 触发: 巨章鱼在水下受到伤害。响应: 巨章鱼释放出墨水覆盖以自己为中心的10尺立方区域，且巨章鱼移动至多等于其游泳速度的距离。该立方区域在1分钟内变为重度遮蔽，当有强劲水流或类似效应将墨水击散时，该效应提前结束。,,,,,水下,
巨蛙,MM'25,357,中型,野兽,无阵营,11,18 (4d8),"30 尺, 游泳 30 尺",12,13,11,2,10,3,,"察觉 +2, 隐匿 +4",,,,,"黑暗视觉 30 尺, 被动察觉 12",—,1/4 (XP 50; PB +2),"水陆两栖 Amphibious. 青蛙可以在空气和水中呼吸。

立定跳远 Standing Leap. 不论是否助跑，巨蛙都能跳远至多20尺或跳高至高10尺。","啃咬 Bite. 近战攻击检定: +3，触及5尺。命中: 5（1d6 + 2）穿刺伤害。若目标生物体型不超过中型，则其陷入受擒状态（逃脱DC 11）。

吞咽 Swallow. 巨蛙吞下一名正被其擒抱的不超过小型的生物。被吞咽期间，目标不再受擒但会陷入目盲和束缚状态，对巨蛙体外的攻击或其他效应而言处于全身掩护。吞咽目标期间，巨蛙无法使用啃咬，且若巨蛙死亡，被吞咽生物不再被束缚并可以使用5尺移动力逃离尸体，以倒地状态脱离。

在巨蛙的下个回合结束时，被吞咽的目标受到5（2d4）强酸伤害。若此伤害未杀死目标，则巨蛙将其吐出，令其以倒地状态脱离。",,,,,,,"森林, 沼泽",
巨蜈蚣,MM'25,355,小型,野兽,无阵营,14,9 (2d6 + 2),"30 尺, 攀爬 30 尺",5,14,12,1,7,3,,,,,,,"盲视 30 尺, 被动察觉 8",—,1/4 (XP 50; PB +2),,啃咬 Bite. 近战攻击检定: +4，触及5尺。命中: 4（1d4 + 2）穿刺伤害，且目标陷入中毒状态直至巨蜈蚣的下个回合开始。,,,,,,,"城市, 幽暗地域",
巨蜘蛛,MM'25,359,大型,野兽,无阵营,14,26 (4d10 + 4),"30 尺, 攀爬 30 尺",14,16,12,2,11,4,,"察觉 +4, 隐匿 +7",,,,,"黑暗视觉 60 尺, 被动察觉 14",—,1 (XP 200; PB +2),"蛛网行者 Web Walker. 巨蜘蛛在蛛网上移动时无视蛛网造成的移动限制，且与蛛网接触期间，巨蜘蛛可以知道其他与该蛛网接触生物的准确位置。

蛛行术 Spider Climb. 巨蜘蛛可以在难以攀爬的表面上攀爬，包括沿着天花板移动，且无需为此进行属性检定。","啃咬 Bite. 近战攻击检定: +5，触及5尺。命中: 7（1d8 + 3）穿刺伤害外加7（2d6）毒素伤害。

蛛网(充能 5–6) Web. 敏捷 豁免检定: DC 13，60尺内巨蜘蛛可见的生物。失败: 目标陷入束缚状态直至蛛网被摧毁（AC10；HP5；易伤火焰易伤；免疫毒素和心灵伤害免疫）。",,,,,,,"城市, 幽暗地域, 森林, 沼泽, 荒漠",
巨蜥,MM'25,358,大型,野兽,无阵营,12,19 (3d10 + 3),"40 尺, 攀爬 40 尺",15,12,13,2,10,5,Dex +3,,,,,,"黑暗视觉 60 尺, 被动察觉 10",—,1/4 (XP 50; PB +2),蛛行术 Spider Climb. 蜥蜴可以在难以攀爬的表面上攀爬，包括沿着天花板移动，且无需为此进行属性检定。,啃咬 Bite. 近战攻击检定: +4，触及5尺。命中: 6（1d8 + 2）点穿刺伤害。,,,,,,,"幽暗地域, 森林, 沼泽, 海岸, 荒漠",
巨蝎,MM'25,359,大型,野兽,无阵营,15,52 (7d10 + 14),40 尺,16,13,15,1,9,3,,,,,,,"盲视 60 尺, 被动察觉 9",—,3 (XP 700; PB +2),,"多重攻击 Multiattack. 巨蝎发动两次爪击攻击和一次钉刺攻击。

爪击 Claw. 近战攻击检定: +5，触及5尺。命中: 6（1d6 + 3）钝击伤害。若目标生物体型不超过大型，则其被双钳之一擒抱，陷入受擒状态（逃脱DC 13）。

钉刺 Sting. 近战攻击检定: +5，触及5尺。命中: 7（1d8 + 3）穿刺伤害外加11（2d10）毒素伤害。",,,,,,,荒漠,
巨蝙蝠,MM'25,355,大型,野兽,无阵营,13,22 (4d10),"10 尺, 飞行 60 尺",15,16,11,2,12,6,,,,,,,"盲视 120 尺, 被动察觉 11",—,1/4 (XP 50; PB +2),,啃咬 Bite. 近战攻击检定: +5，触及 5 尺。命中: 6（1d6 + 3）穿刺伤害。,,,,,,,"山地, 幽暗地域, 森林",
巨蟒蛇,MM'25,355,巨型,野兽,无阵营,12,60 (8d12 + 8),"30 尺, 游泳 30 尺",19,14,12,1,10,3,,察觉 +2,,,,,"盲视 10 尺, 被动察觉 12",—,2 (XP 450; PB +2),,"多重攻击 Multiattack. 巨蟒蛇发动一次啃咬攻击并使用绞缠。

啃咬 Bite. 近战攻击检定: +6，触及10尺。命中: 11（2d6 + 4）穿刺伤害。

绞缠 Constrict. 力量 豁免检定: DC 14，巨蟒蛇可见的10尺内体型不超过大型的生物。失败: 13（2d8 + 4）钝击伤害，且目标陷入受擒状态（逃脱DC 14）。",,,,,,,"森林, 水下, 沼泽, 荒漠",
巨蟹,MM'25,356,中型,野兽,无阵营,15,13 (3d8),"30 尺, 游泳 30 尺",13,13,11,1,9,3,,隐匿 +3,,,,,"盲视 30 尺, 被动察觉 9",—,1/8 (XP 25; PB +2),水陆两栖 Amphibious. 蟹可以在空气和水中呼吸。,爪击 Claw. 近战攻击检定: +3，触及5尺。命中: 4（1d6 + 1）钝击伤害。若目标生物体型不超过中型，则其被双钳之一擒抱，陷入受擒状态（逃脱DC 11）,,,,,,,"水下, 海岸",
巨蟾,MM'25,360,大型,野兽,无阵营,11,39 (6d10 + 6),"30 尺, 游泳 30 尺",15,13,13,2,10,3,,,,,,,"黑暗视觉 60 尺, 被动察觉 10",—,1 (XP 200; PB +2),"水陆两栖 Amphibious. 蟾蜍可以在空气和水中呼吸

立定跳远 Standing Leap. 不论是否助跑，巨蟾蜍的跳远跳远至多20尺或跳高跳高至高10尺。","啃咬 Bite. 近战攻击检定: +4，触及5尺。命中: 5（1d6 + 2）穿刺伤害外加5（2d4）毒素伤害。若目标生物体型不超过中型，则其还会陷入受擒状态（逃脱DC 12）。

吞咽 Swallow. 巨蟾蜍吞下一名正被其擒抱的不超过中型的生物。被吞咽期间，目标不再受擒但会陷入目盲和束缚状态，对巨蟾蜍体外的攻击或其他效应而言处于全身掩护。此外，目标在巨蟾蜍的回合结束时受到10（3d6）强酸伤害。巨蟾蜍同时能吞咽的生物数上限为一，且吞咽目标期间，其无法使用啃咬。若巨蟾蜍死亡，被吞咽生物不再束缚并可以使用5尺移动力逃离尸体，以倒地状态脱离。",,,,,,,"幽暗地域, 森林, 沼泽, 海岸",
巨赤鹿,MM'25,356,巨型,天族,中立 善良,14,42 (5d12 + 10),60 尺,19,18,14,7,14,10,"Str +6, Dex +6",察觉 +4,,"暗蚀, 光耀",,,"黑暗视觉 90 尺, 被动察觉 14","天族语; 懂通用语, 精灵语, 理解通用语，精灵语和木族语，但不会说",2 (XP 450; PB +2),,冲撞 Ram. 近战攻击检定: +6，触及10尺。命中: 11（2d6 + 4）钝击伤害外加5（2d4）光耀伤害。若目标为不超过巨型的生物且赤鹿在此次攻击前立即向着目标直线移动了20尺+，则目标额外受到5（2d4）钝击伤害并陷入倒地状态。,,,,,,,"丘陵, 森林, 草地",
巨野猪,MM'25,355,大型,野兽,无阵营,13,42 (5d10 + 15),40 尺,17,10,16,2,7,5,Str +5,,,,,,被动察觉 8,—,2 (XP 450; PB +2),浴血狂怒 Bloodied Fury. 巨野猪在浴血期间进行的近战攻击检定具有优势。,顶撞 Gore. 近战攻击检定: +5，触及5尺。命中: 10（2d6 + 3）穿刺伤害。若目标为不超过大型的生物且巨野猪在此次攻击前立即向着该目标直线移动了至少20尺，则目标额外受到7（2d6）穿刺伤害并陷入倒地状态。,,,,,,,"丘陵, 森林, 草地",
巨颅魔,MPMM,217,巨型,邪魔 (恶魔),混乱 邪恶,19 (天生护甲),150 (12d12 + 72),"0 尺, 飞行 20 尺 (悬浮)",10,3,23,25,24,25,"Int +13, Cha +13","奥秘 +13, 历史 +13, 察觉 +13",,"寒冷, 火焰, 闪电; 钝击, 穿刺, 和 挥砍 来自非魔法攻击",毒素,中毒,"真实视觉 120 尺, 被动察觉 23","所有, 心灵感应 120 尺","18 (XP 20,000; PB +6)","传奇抗性 (3/日) Legendary Resistance. 若巨颅魔在一次豁免掷骰中失败，它可以选择改为成功。

污染 Contamination. 巨颅魔向30尺内所有方向散发出腐败的灵光。在此灵光范围内的植物枯萎，同时灵光内的地面对其他生物都视为困难地形。任何在此灵光范围内的生物在开始其回合时必须成功通过一个DC 20的体质豁免，否则承受14（4d6）点毒素伤害。豁免成功的生物在接下来的24小时里免疫此巨颅魔的侵染能力。

魔法抗性 Magic Resistance. 巨颅魔对抗法术和其他魔法效应时的豁免骰具有优势。","多重攻击 Multiattack. 巨颅魔进行三次链条攻击，并使用喷射胆汁。

施法. 巨颅魔施展以下一道法术，无需任何材料成分并使用魅力作为施法属性（法术豁免DC 21）：

随意: 命令术, 解除魔法, 定身怪物

1/日: 弱智术

链之魔契 Chain. 近战武器攻击: 命中+13，触及 15尺，单一目标。命中: 20（2d12 + 7）力场伤害。

喷射胆汁 Squirt Bile. 巨颅魔指定120尺内一个其可以看到的生物为目标。该目标必须成功通过一个DC 20的敏捷豁免，否则承受31（9d6）点强酸伤害。

扭曲生物 Warp Creature. 巨颅魔指定120尺内至多三个其可以看到的生物为目标。每个目标必须进行一个DC 20的体质豁免。豁免成功的生物免疫此巨颅魔的扭曲生物能力。若豁免失败，则目标中毒，这同时导致目标获得1级力竭。当因此而中毒时，目标必须在其每个回合开始时重复进行此豁免。三次对抗此中毒的豁免成功会终止中毒，并移除因此而导致的所有等级的力竭。每次豁免失败则导致目标再承受1级力竭。一旦目标达到6级力竭，目标便死亡并立刻转变为一个处于巨颅魔控制下的活着的原魔。此身体转变只能被一道祈愿术法术所逆转。",,,"施展法术 Cast a Spell. 巨颅魔使用施法。

喷吐胆汁 Spray Bile. 巨颅魔使用喷射胆汁。

扭曲（消耗2个动作） Warp. 巨颅魔使用扭曲生物。",,,,幽暗地域,
巨鬣狗,MM'25,357,大型,野兽,无阵营,12,45 (6d10 + 12),50 尺,16,14,14,2,12,7,,察觉 +3,,,,,"黑暗视觉 60 尺, 被动察觉 13",—,1 (XP 200; PB +2),,啃咬 Bite. 近战攻击检定: +5，触及5尺。命中: 10（2d6 + 3）穿刺伤害。,横行(1/日) Rampage. 巨鬣狗在对一名已浴血的生物造成伤害后，可以立即移动至多等于其速度一半的距离并发动一次啃咬攻击。,,,,,,"丘陵, 森林, 草地, 荒漠",
巨魔,MM'25,310,大型,巨人,混乱 邪恶,15,94 (9d10 + 45),30 尺,18,13,20,7,9,7,,察觉 +5,,,,,"黑暗视觉 60 尺, 被动察觉 15",巨人语,"5 (XP 1,800; PB +3)","再生 Regeneration. 巨魔在其回合开始时恢复 15 生命值。若巨魔受到强酸或火焰伤害，则该特质在其下个回合开始时无法生效。巨魔只有以 0 生命值开始其回合且无法再生时，才会死亡。

扰人断肢（4/日） Loathsome Limbs. 若巨魔在任意回合结束时浴血，并且曾在此回合中受到 15+ 挥砍伤害，巨魔的其中一条肢体会被切断，落到巨魔所在的空间中，成为一条巨魔断肢。断肢在巨魔的回合结束后立即行动。巨魔每有一条失去的肢体，其便获得 1 级力竭，巨魔会在下次恢复生命值时长出失去的肢体。","多重攻击 Multiattack. 巨魔发动三次撕裂攻击。

撕裂 Rend. 近战攻击检定: +7，触及 10 尺。命中: 11（2d6 + 4）挥砍伤害。",冲锋 Charge. 巨魔向一名其可见的敌人直线移动至多等于其速度一半的距离。,,,,,,"丘陵, 山地, 幽暗地域, 极地, 森林, 沼泽",
巨魔断肢,MM'25,310,小型,巨人,混乱 邪恶,13,14 (4d6),20 尺,18,12,10,1,9,1,,,,,,,"黑暗视觉 60 尺, 被动察觉 9",—,1/2 (XP 100; PB +2),"再生 Regeneration. 断肢在其回合开始时恢复 5 生命值生命值。若断肢受到强酸或火焰伤害，则该特质在其下个回合开始时无法生效。断肢只有以 0 生命值生命值开始其回合且无法再生时，才会死亡。

巨魔孽生 Troll Spawn. 断肢不可思议地有着如同整只巨魔的感官。若断肢未在 24 小时内被摧毁，掷1d12。骰值为 12 时，断肢长成一头巨魔。否则，断肢萎缩死去。",撕裂 Rend. 近战攻击检定: +6，触及 5 尺。命中: 9（2d4 + 4）挥砍伤害。,,,,,,,"丘陵, 山地, 幽暗地域, 极地, 森林, 沼泽",
巨鲨,MM'25,359,巨型,野兽,无阵营,13,92 (8d12 + 40),"5 尺, 游泳 60 尺",23,11,21,1,10,5,,察觉 +3,,,,,"盲视 60 尺, 被动察觉 13",—,"5 (XP 1,800; PB +3)",水下呼吸 Water Breathing. 鲨鱼只能在水下呼吸。,"多重攻击 Multiattack. 巨鲨发动两次啃咬攻击。

啃咬 Bite. 近战攻击检定: +9（具有优势的条件为目标生命值未满），触及5尺。命中: 22（3d10 + 6）穿刺伤害。",,,,,,,水下,
巨鳄,MM'25,356,巨型,野兽,无阵营,14,85 (9d12 + 27),"30 尺, 游泳 50 尺",21,9,17,2,10,7,,隐匿 +5,,,,,被动察觉 10,—,"5 (XP 1,800; PB +3)",屏息 Hold Breath. 鳄鱼可以屏息一小时。,"多重攻击 Multiattack. 巨鳄鱼发动一次啃咬攻击和一次尾击攻击

啃咬 Bite. 近战攻击检定: +8，触及5尺。命中: 21（3d10 + 5）穿刺伤害。若目标生物体型不超过大型，则其陷入受擒状态（逃脱DC 15）。受擒期间，目标还会陷入束缚状态，且不能成为巨鳄鱼尾击的目标。

尾击 Tail. 近战攻击检定: +8，触及10尺。命中: 18（3d8 + 5）钝击伤害。若目标生物体型不超过大型，则其陷入倒地状态。",,,,,,,"沼泽, 海岸",
巨鹰,MM'25,356,大型,天族,中立 善良,13,26 (4d10 + 4),"10 尺, 飞行 80 尺",16,17,13,8,14,10,,察觉 +6,,"暗蚀, 光耀",,,被动察觉 16,天族；理解通用语和原初语（气族语），但不会说,1 (XP 200; PB +2),,"多重攻击 Multiattack. 巨鹰发动两次撕裂攻击。

撕裂 Rend. 近战攻击检定: +5，触及5尺。命中: 5（1d4 + 3）挥砍伤害外加3（1d6）光耀伤害。",,,,,,,"丘陵, 山地, 海岸, 草地",
巨黄蜂,MM'25,361,中型,野兽,无阵营,13,22 (5d8),"10 尺, 飞行 50 尺",10,14,10,1,10,3,,,,,,,被动察觉 10,—,1/2 (XP 100; PB +2),飞掠 Flyby. 巨黄蜂飞行离开敌人的触及范围时不会引发借机攻击。,钉刺 Sting. 近战攻击检定: +4，触及5尺。命中: 5（1d6 + 2）穿刺伤害外加5（2d4）毒素伤害。,,,,,,,"城市, 森林, 草地",
巨鼠,MM'25,358,小型,野兽,无阵营,13,7 (2d6),"30 尺, 攀爬 30 尺",7,16,11,2,10,4,Dex +5,察觉 +2,,,,,"黑暗视觉 60 尺, 被动察觉 12",—,1/8 (XP 25; PB +2),集群战术 Pack Tactics. 若巨鼠的攻击目标生物5尺内存在有至少一名巨鼠未失能的盟友，则巨鼠对该生物进行的攻击检定具有优势。,啃咬 Bite. 近战攻击检定: +5，触及5尺。命中: 5（1d4 + 3）穿刺伤害。,,,,,,,"城市, 幽暗地域, 森林, 沼泽",
巨鼬,MM'25,361,中型,野兽,无阵营,13,9 (2d8),"40 尺, 攀爬 30 尺",11,17,10,4,12,5,,"特技 +5, 察觉 +3, 隐匿 +5",,,,,"黑暗视觉 60 尺, 被动察觉 13",—,1/8 (XP 25; PB +2),,啃咬 Bite. 近战攻击检定: 命中+5，触及5尺。命中: 5（1d4 + 3）穿刺伤害。,,,,,,,"丘陵, 森林, 草地",
巫妖,MM'25,196,中型,亡灵 (法师),中立 邪恶,20,315 (42d8 + 126),30 尺,11,16,16,21,14,16,"Dex +10, Con +10, Int +12, Wis +9","奥秘 +19, 历史 +12, 洞悉 +9, 察觉 +9",,"寒冷, 闪电","暗蚀, 毒素","中毒, 力竭, 恐慌, 魅惑, 麻痹","真实视觉 120 尺, 被动察觉 19",所有,"21 (XP 33,000, 或 41,000在巢穴中时; PB +7)","传奇抗性（4/日，或巢穴内5/日） Legendary Resistance. 巫妖豁免失败时，可以将其改为豁免成功。

命匣 Spirit Jar. 只要保有命匣，被摧毁的巫妖就可以在1d10日内重新成型，以满生命值复活。新的躯体将出现在巫妖巢穴内的一处未占据空间。","多重攻击 Multiattack. 巫妖使用魔能迸裂或麻痹之触发动共计三次攻击。

魔能迸裂 Eldritch Burst. 近战 或 远程攻击检定: +12，触及 5 尺或射程 120 尺。命中: 31（4d12 + 5）力场伤害。

施法. 巫妖施展以下一道法术，使用智力作为施法属性（法术豁免DC 20）：

随意: 侦测魔法, 侦测思想, 解除魔法, 火球术（五环版本）, 隐形术, 闪电束（五环版本）, 法师之手, 魔法伎俩

每项2/日: 活化死尸, 任意门, 位面转移

每项1/日: 连锁闪电, 死亡一指, 律令死亡, 探知术

麻痹之触 Paralyzing Touch. 近战攻击检定: +12，触及 5 尺。命中: 15（3d6 + 5）寒冷伤害，且目标陷入麻痹状态直至巫妖的下个回合开始。",,护身魔法. 巫妖施展法术反制或护盾术（触发条件见这些法术），使用与施法动作相同的施法属性。,"恐惧凝视. 巫妖施展恐惧术，使用与施法动作相同的施法属性。巫妖直至其下个回合开始都无法再执行此动作。

蚀命传送 Deathly Teleport. 巫妖传送至多 60 尺至一处其可见的未占据空间，位于其离开的空间 10 尺内的每名生物受到 11（2d10）暗蚀伤害。

扰乱生命 Disrupt Life. 体质 豁免检定: DC 20，源自巫妖的 20 尺光环区域内的每名非亡灵生物。失败: 31（9d6）暗蚀伤害。成功: 半伤。失败或成功: 巫妖直至其下个回合开始都无法再执行此动作。",,,"包含巫妖巢穴的区域因其存在而扭曲，产生以下效果：

全知者. 在巢穴中，巫妖可以施放鹰眼术，无需法术材料，并使用与其施法动作相同的施法能力。

吞灭亡魂. 每当有类人生物在巢穴1英里范围内死亡，其灵魂会立即被巫妖吸收。通过这种方式被吸收灵魂的类人生物，只能通过完全复生术或祈愿术被复活。

如果巫妖被摧毁或将巢穴移至他处，这些效果立即结束。如果巫妖获得了新的躯体（见其灵龛特性），这些效果将恢复。",任何,奥秘
巴布魔,MPMM,52,中型,邪魔 (恶魔),混乱 邪恶,16 (天生护甲),82 (11d8 + 33),40 尺,19,16,16,11,12,13,,"察觉 +5, 隐匿 +5",,"寒冷, 火焰, 闪电; 钝击, 穿刺, 和 挥砍 来自非魔法攻击",毒素,中毒,"黑暗视觉 120 尺, 被动察觉 15",深渊语,"4 (XP 1,100; PB +2)",,"多重攻击 Multiattack. 巴布魔进行两次爪抓攻击。它可以将其中一次攻击替换为使用施法或虚弱凝视动作。

施法. 巴布魔施放下列法术之一，无需材料成分，并使用感知作为其施法关键属性（法术豁免DC 11）：

随意: 黑暗术, 解除魔法, 恐惧术, 灼热金属, 浮空术

爪击 Claw. 近战武器攻击: 命中+6，触及5尺，单一目标。命中: 6（1d4 + 4）挥砍伤害外加2（1d4）强酸伤害。

虚弱凝视 Weakening Gaze. 巴布魔指定20尺内一个它可以看到的生物为目标。目标必须进行一个DC 13的体质豁免。若豁免失败，则目标在接下来的1分钟里使用力量进行的武器攻击只造成一半伤害。目标在其每个回合结束时可以重复进行此豁免，豁免成功则终止其所承受的此效应。",,,,,,,"城市, 幽暗地域",
巴弗灭,MPMM,58,巨型,邪魔 (恶魔),混乱 邪恶,22 (天生护甲),319 (22d12 + 176),40 尺,30,14,26,18,24,16,"Dex +9, Con +15, Wis +14","威吓 +17, 察觉 +14",,"寒冷, 火焰, 闪电","毒素; 钝击, 穿刺, 和 挥砍 非魔法的","中毒, 力竭, 恐慌, 魅惑","真实视觉 120 尺, 被动察觉 24","所有, 心灵感应 120 尺","23 (XP 50,000; PB +7)","传奇抗性 (3/日) Legendary Resistance. 如果巴弗灭在一次豁免中失败，祂可以将其改为豁免成功。

迷宫追忆 Labyrinthine Recall. 巴弗灭可以完整的回忆起曾经走过的任何路径，并且祂免疫迷宫术法术。

魔法抗性 Magic Resistance. 巴弗灭对抗法术和其他魔法效应时的豁免骰具有优势。","多重攻击 Multiattack. 巴弗灭发动一次啃咬攻击，一次顶撞攻击和一次劈心攻击。祂还能使用骇人威仪。

啃咬 Bite. 近战武器攻击: 命中+17，触及10尺，单一目标。命中: 19（2d8 + 10）穿刺伤害。

顶撞 Gore. 近战武器攻击: 命中+17，触及10尺，单一目标。命中: 17（2d6 + 10）穿刺伤害。如果巴弗灭在命中前至少向目标直线移动了10尺，则目标额外受到16（3d10）穿刺伤害。如果目标是生物，则必须成功通过DC 25的力量豁免，否则被推开至多10尺远并被击倒倒地。

劈心 Heartcleaver. 近战武器攻击: 命中+17，触及15尺，单一目标。命中: 21（2d10 + 10）力场伤害。

施法. 巴弗灭施展以下法术中的一个，且不需要材料成分，以魅力为施法关键属性（法术豁免DC 18）：

每项3/日: 解除魔法, 支配野兽, 迷宫术, 石墙术

1/日: 传送术

骇人威仪 Frightful Presence. 巴弗灭指定周边120尺范围内若干意识到其存在的生物，每个目标都必须进行一次DC 18的感知豁免否则陷入1分钟的恐慌状态。该被恐慌生物可以在其自己回合结束时再进行一次该豁免，豁免成功则终止该生物身上的恐慌效应。如果巴弗灭在该生物视线内，后续的豁免具有劣势。

如果生物在此豁免中成功或该效应在其身上结束，则该生物在接下来的24小时内免疫巴弗灭的骇人威仪。",,,"劈心攻击 Heartcleaver Attack. 巴弗灭发动一次劈心攻击。

冲锋（花费2个动作） Charge. 巴弗灭移动至多等于其速度的距离且不会引发借机攻击，然后发动一次顶撞攻击。",,"在第20个先攻计数（先攻平手则失去先攻）时，巴菲门特可以采取以下巢穴行动之一；他不能连续两轮采取相同的巢穴行动：

幻术空间. 巴菲门特施放了幻象秘法，影响巢穴内任何一个尺寸不超过100尺的房间。这个效果在下一个先攻计数20时结束。对于这个法术，魅力是巴菲门特的施法能力。

反转重力. 巴菲门特选择了巢穴内一个任何一个尺寸不超过100尺的房间。直到下一个先攻计数20，那个房间内的重力被反转。任何在这个效果发生时在房间内的生物或物体都会向新的重力方向坠落，除非他们有办法停留在空中。如果巴菲门特在房间里，他可以忽略重力反转，尽管他喜欢利用这个行动落在天花板上攻击靠近它飞行的目标。

封路. 巴菲门特封闭了巢穴内的一扇门或其它入口。这个开口必须是空的。它被实心石头填满，持续1分钟，或者直到巴菲门特再次采取这个巢穴行动。","包含巴菲门特巢穴的区域被他的魔法扭曲，产生了以下一种或多种效果：

欺骗国度. 在巢穴周围6英里内，所有魅力（游说）和魅力（表演）检定具有劣势，而所有魅力（欺瞒）和魅力（威吓）检定具有优势。

树篱迷宫. 巢穴周围1英里内的植物生长得非常茂密，形成了由树木、树篱和其他植物构成的小迷宫。

惊慌失措的野兽. 巢穴周围1英里内的野兽变得恐慌并迷失方向，就好像它们不断受到被猎杀的威胁一样，甚至在没有可见威胁的情况下也可能猛烈反击或恐慌。

如果Baphomet死亡，这些效果将在1d10天内逐渐消失。",,
巴弗灭的牛头人,MM'25,215,大型,怪兽,混乱 邪恶,14,85 (10d10 + 30),40 尺,18,11,16,6,16,9,,"察觉 +7, 生存 +7",,,,,"黑暗视觉 60 尺, 被动察觉 17",深渊语,3 (XP 700; PB +2),,"深渊长柄刀 Abyssal Glaive. 近战攻击检定: +6，触及 10 尺。命中: 10（1d12 + 4）挥砍伤害外加 10（3d6）暗蚀伤害。

顶撞(充能 5–6) Gore. 近战攻击检定: +6，触及 5 尺。命中: 18（4d6 + 4）穿刺伤害。若牛头人在此次攻击前立即向着目标直线移动了 10+尺，且目标生物体型不超过大型，则目标额外受到 10（3d6）穿刺伤害并陷入倒地状态。",,,,,,,幽暗地域,武备
