名称,来源,页码,环阶,施法时间,持续时间,学派,范围,成分,职业,可选/变体 职业,子职,文本,升环施法
地动术,PHB'24,302,6环,动作,"专注, 至多2 小时",变化,120 尺,"声音, 姿势, 材料 (一个微缩模型的铲子)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","指定施法距离内一处在任何方向上都不超过 40 尺的地形区域，在法术持续时间内，你可以随意重塑区域内的泥土，沙土或黏土。你可以升高或降低区域内的地面高度，制造或填平一道沟渠，竖起或夷平一道屏障，或是形成一根立柱。上述任何改造的地形范围不得超过整个区域最大边长的一半。例如，如果你影响了 40 尺立方区域，则你可以创造一根至多 20 尺高的立柱，将地面升高或降低至多 20 尺，挖一条至多 20 尺深的壕沟，等等。这些改变一共需要花 10 分钟的时间来完成。由于地形的变化发生得很缓慢，区域内的生物通常不会被地面的移动困住或者受伤。

每为法术维持 10 分钟专注于，你都可以选择一片新的地形区域再施以影响。

该法术无法改变天然的岩石或石制建筑。但石头和建筑仍会因适应地形的变化而被改变。如果你改变地形的方式会使得建筑不稳定，则它有可能倒塌。

类似地，该法术也无法直接影响植物生长。而被移走的泥土会带走任何生长在其上的植物。",
地震术,PHB'24,267,8环,动作,"专注, 至多1 分钟",变化,500 尺,"声音, 姿势, 材料 (一块破裂的岩石)","德鲁伊 (PHB'24), 术士 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","选择施法距离内你可见的地面上一点。法术持续时间内，一股强烈的震颤在以震源为中心半径 100 尺的圆形范围内传递。处于此范围内的地面被视为困难地形。

你施展此法术时，以及法术持续时间内每个你的回合结束时，区域地面上的每个生物都必须进行一次敏捷豁免，豁免失败则其陷入倒地状态，且其专注被打断。

你也可以应用下述的额外效应：

裂缝 Fissures. 在你施展此法术的回合结束时，受法术影响的区域会撕开总计1d6条裂缝。你选择裂缝生成的地点，但裂缝的位置不可位于建筑物之下。每条裂缝深1d10 × 10尺，宽 10 尺，并由影响区域的一边向另一边延伸。处于裂缝位置上的生物必须成功通过一次敏捷豁免，否则将坠落其中。豁免成功则该生物在裂缝张开时随之移动到裂缝的边缘。

建筑 Structures. 在你施展此法术时及法术终止前你的每个回合结束时，地震对影响区域内的所有与地面有接触的建筑都造成 50 点钝击伤害。建筑生命值降为0生命值时立即崩塌。

与该建筑距离不大于该建筑高度一半的生物进行一次敏捷豁免。豁免失败则受12d6点钝击伤害并陷入倒地状态且被埋于废墟之下，需用一个动作通过一次DC 20力量（运动）检定来尝试逃离。豁免成功则受到半数伤害。",
塑石术,PHB'24,321,4环,动作,立即,变化,触及,"声音, 姿势, 材料 (软粘土)","奇械师 (EFA), 德鲁伊 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者",你触碰一个体积为中型或更小的石质物件或某块岩石在任何方向都不超过 5 尺的一部分，并将其塑造成你想要的任意形状。例如你可以将一块大石头塑造成一件武器、一尊塑像、或一个保险箱，也可以在石墙上开出一条小通道，前提是墙的厚度不能超过 5 尺。你也可以使一扇石门或石质门框变形来将门封死。你创造的物件最多可以有两条铰链和一道闩，除此之外不能以该法术塑造出更复杂的机械结构。,
塔莎泡泡坩埚,PHB'24,330,6环,动作,10 分钟,咒法,5 尺,"声音, 姿势, 材料 (一支价值 500+GP 的镀金长柄勺)","法师 (PHB'24), 魔契师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 炼金师 (EFA) 奇械师","你咒唤一口充满冒泡液体的爪足大锅。大锅出现在距你 5 尺内地面上的一处未占空间内且持续存在至法术终止。大锅不能被移动，且在法术结束时与其内的冒泡液体一同消失。

大锅中的液体会复制一种你选择的稀有度为普通或非普通药剂（如一瓶治疗药水）的词条。以一个附赠动作，你或一名盟友可以从大锅中捞出上述你所选择的一种药水。药水会被装在一个小瓶中，且小瓶会在药水被消耗后消失。大锅能产生药水的瓶数等同于你的施法属性调整值（最小为 1）。从大锅中取出最后一瓶药水后，大锅消失，法术终止。

从大锅中取出的药水若在你再次施展此法术时未被消耗，则药水会消失。",
塔莎狂笑术,PHB'24,331,1环,动作,"专注, 至多1 分钟",惑控,30 尺,"声音, 姿势, 材料 (一块甜馅饼和一根羽毛)","吟游诗人 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 旧日支配者 (PHB'24) 魔契师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","施法距离内你可见的一名生物进行一次感知豁免。豁免失败，目标在持续时间内陷入倒地和失能状态。在此期间，目标会不受控制地狂笑（只要它能够发笑），且无法结束自身的倒地状态。

目标在其每回合结束或受到伤害时，可以再进行一次感知豁免。如果豁免是因受到伤害所致，则该次豁免具有优势。豁免成功时，法术终止。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，你就可以额外选择一个生物作为目标。
复仇风暴,PHB'24,321,9环,动作,"专注, 至多1 分钟",咒法,1 里,"声音, 姿势",德鲁伊 (PHB'24),,,"以施法距离内一点为中心，一团翻腾搅动的乌云在法术时间内成形，并扩散至半径 300 尺的区域。当云团出现时，所有位于云团下的生物必须进行一次体质豁免。豁免失败者将受到2d6点雷鸣伤害且在持续时间内陷入耳聋耳聋状态。

在持续时间内。后续的每个你的回合开始时，风暴会在产生一道不同的效应，如下所示：

第 2 回合 Turn 2. 云层中降下酸雨。所有位于云团下方的生物和物件受到4d6点强酸伤害。

第 3 回合 Turn 3. 从云中召下六束闪电束击向六个位于云团下的不同生物/物件。这些目标必须通过一次敏捷豁免，豁免失败者将受到10d6点闪电伤害，豁免成功则受到半数伤害。

第 4 回合 Turn 4. 冰雹从云团中倾泻而下。所有位于云团下方的生物将受到2d6点钝击伤害。

第 5-10 回合 Turns 5-10. 狂风和冰雨冲袭着云团下的区域，该区域内的所有生物受到1d6点寒冷伤害。在法术结束前，使该区域变为困难地形、形成重度遮蔽 ，并刮起强风。该区域内无法使用武器发动远程攻击。",
复生术,PHB'24,312,7环,1 小时,立即,死灵,触及,"声音, 姿势, 材料 (一颗价值 1000+GP 的钻石，作为法术耗材)","吟游诗人 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你触碰一名已死，但死亡时间不超过 100 年，并非死于年老，且死亡时并非亡灵的生物，使其回生。

生物以生命值全满的状态重生。该法术同样会中和在该生物死亡时仍在生效的毒素。该法术能治愈所有致命伤，恢复所有失去的身体部位。

死而复生是一个痛苦的体验。目标进行D20 检定时具有 -4 减值。目标每完成一次长休，其减值就减少 1，直至减值变为 0。

使用该法术复活一名已死去 365 日或更久的生物会使你耗费大量精力。在你完成一次长休前，你将无法再施展任何法术，且此时你进行的一切D20 检定具有劣势。",
复苏秘法,PHB'24,242,2环,附赠动作,立即,防护,自身,"声音, 姿势","奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 防护师 (PHB'24) 法师",你利用自己的生命力来治愈自身。投一枚或两枚你还未消耗的生命值骰，然后恢复等于结果加你的施法属性调整值的总和的生命值。随后，这些生命骰会被法术消耗。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比二环高一环，你就能多投掷一枚未使用的生命骰。
大步奔行,PHB'24,293,1环,动作,1 小时,变化,触及,"声音, 姿势, 材料 (一撮泥土)","吟游诗人 (PHB'24), 奇械师 (EFA), 德鲁伊 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你触碰一个生物，该目标的速度速度增加 10 尺，直至法术结束。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，你就可以额外选择一个生物作为目标。
天界召唤术,PHB'24,323,5环,动作,"专注, 至多1 小时",咒法,90 尺,"声音, 姿势, 材料 (一个的金制圣物匣，价值 500+GP)","圣武士 (PHB'24), 牧师 (PHB'24)",,"天界 (PHB'24) 魔契师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你唤来一个天界灵魄。其使用下文天界灵魄的数据，并会在施法距离内一处你可见的未被占据的空间中显现。当你施展法术时，从复仇圣灵或守护圣灵选择一个，其数据中的部分特性也受此影响。该生物会在生命值降为 0 或是法术结束时消失。

该生物是你和你盟友的盟友。它在战斗中使用你的先攻，并在你回合结束后立即执行其回合。它遵从于你的口头指令（无需任何动作）。如果你不发令，它将执行回避动作并使用其移动力以远离危险。",升环施法 Using a Higher-Level Spell Slot. 该生物的数据使用新的法术环阶。
奇术,PHB'24,333,戏法,动作,1 分钟,变化,30 尺,声音,牧师 (PHB'24),,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你在施法距离内显现一道次级奇迹。你在施法距离内创造下述效应之一。如果你多次施展该法术，则可以同时维持至多三个不同的 1 分钟效应。

改变眼睛 Altered Eyes. 你改变自己眼睛的外观，其效应持续 1 分钟。

扩音 Booming Voice. 你的语音音量变为通常情况下的三倍大，其效应持续 1 分钟。在此期间，你在魅力（威吓）检定上具有优势。

玩火 Fire Play. 你使一团火焰闪烁、变亮、变暗或变色，其效应持续 1 分钟。

看不见的手 Invisible Hand. 你使一扇没有上锁的门/窗立即打开或关上。

幻音 Phantom Sound. 指定施法距离内的一点，你使该点发出一道短暂的声音，例如雷鸣声，渡鸦叫声或不祥低语声。

震动 Tremors. 你在地面上引发无害的震动，其效应持续 1 分钟。",
奥图迷舞,PHB'24,303,6环,动作,"专注, 至多1 分钟",惑控,30 尺,声音,"吟游诗人 (PHB'24), 法师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","一名施法距离内你可见的生物必须进行一次感知豁免。豁免成功则目标直到其下个回合结束为止会跳起滑稽的舞蹈，在此期间其必须消耗所有的移动力在原地跳舞。

若豁免失败，目标将在法术持续时间内陷入魅惑状态。处于魅惑状态期间，目标会跳起滑稽的舞蹈，必须使用所有的移动力在原地跳舞，并且进行的敏捷豁免与攻击检定具有劣势，且其他生物以该生物为目标发动的攻击检定具有优势。在目标的每个自己的回合，其能够以一个动作尝试使自己镇定下来并重复豁免，豁免成功则其身上的法术终止。",
妖火,PHB'24,271,1环,动作,"专注, 至多1 分钟",塑能,60 尺,声音,"吟游诗人 (PHB'24), 奇械师 (EFA), 德鲁伊 (PHB'24)",,"光明 (PHB'24) 牧师, 制图师 (EFA) 奇械师, 至高妖精 (PHB'24) 魔契师, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","施法距离内一处20尺立方区域内每个物件的轮廓都将被蓝色、绿色、或紫色的光芒所勾勒（颜色由你指定）。立方区域内的生物则必须进行一次敏捷豁免，豁免失败时也会被彩色光芒勾勒出轮廓。受术物件和生物在法术持续时间内发出10尺半径的微光光照光照。受术生物或物件无法受益于隐形状态。

能看见受术生物或物件的攻击者对其发动的攻击检定具有优势。",
妖精召唤术,PHB'24,326,3环,动作,"专注, 至多1 小时",咒法,90 尺,"声音, 姿势, 材料 (一朵价值 300+GP 的镀金花)","德鲁伊 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 妖精漫游者 (PHB'24) 游侠, 幻术师 (PHB'24) 法师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你唤来一个妖精灵魄。其使用下文妖精灵魄的数据，并会在施法距离内一处你可见的未被占据的空间中显现。当你施展法术时，从愤怒、欢欣、诡诈中选择一种情绪，该生物会显现为一个受你所选情绪所影响的妖精生物，其数据中的部分特性也受此影响。该生物会在生命值降为 0 或是法术结束时消失。

该生物是你和你盟友的盟友。它在战斗中使用你的先攻，并在你回合结束后立即执行其回合。它遵从于你的口头指令（无需任何动作）。如果你不发令，它将执行回避动作并使用其移动力以远离危险。",升环施法 Using a Higher-Level Spell Slot. 该生物的数据使用新的法术环阶。
嫌恶术/关怀术,PHB'24,242,8环,1 小时,10 day,惑控,60 尺,"声音, 姿势, 材料 (醋和蜂蜜的混合物)","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 法师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","当你施展此法术时，选择它是产生嫌恶还是关怀效应，并选择一个巨型或更小体型的生物或物件。然后指定特定类型的生物，比如红龙、地精或吸血鬼。当此类生物进入被选择的生物120尺内时，它必须进行一次感知豁免。你选择的嫌恶或关怀效应会决定当豁免失败时，这个生物身上产生的效应。

嫌恶. 该生物将陷入恐慌状态。因此陷入恐慌的生物必须在其回合内使用其移动力尽可能远离目标，并沿着最安全的路线移动。

关怀. 该生物将陷入魅惑状态。因此陷入魅惑的生物必须在其回合内使用其移动力尽可能接近目标，并沿着最安全的路线移动。如果该生物位于目标的5尺内，它不能自主远离目标。如果目标伤害陷入魅惑的生物，该生物能够如下文描述一样进行一次感知豁免来结束这一效应。

终止效应 Ending the Effect. 如果陷入恐慌或魅惑的生物在距离目标距离120尺以上结束时结束回合，该生物进行一次感知豁免。豁免成功的情况下，该生物不再被目标影响。在对抗该效应的豁免中成功的生物将不受此法术的效应影响，持续 1 分钟，随后仍可能受到该效应影响。",
守卫刻文,PHB'24,279,3环,1 小时,直到 解除 或 触发,防护,触及,"声音, 姿势, 材料 (价值 200+GP 的钻石尘，作为法术耗材)","吟游诗人 (PHB'24), 奇械师 (EFA), 法师 (PHB'24), 牧师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 防护师 (PHB'24) 法师","施展该法术时，你在某个表面（诸如桌面或地板）或某个能被关闭以隐藏刻纹的物件里（诸如书本或宝箱）刻画一个会释放魔法效应的刻纹。该刻纹可以覆盖直径不超过 10 尺的区域。如果受术的物件或表面从被施法位置被移开超过 10 尺，则其刻纹被破坏且法术不被触发即告终止。

结界刻纹近乎不可察觉，其需要以你的法术豁免DC进行一次成功的感知（察觉）检定才能被发现。

刻画刻纹时，你可以设定其触发条件，并从爆炸符文和法术刻纹两者中选择其一。

设定触发条件 Set the Trigger. 你在施法时设定结界刻纹的触发条件。刻画于表面的刻纹其最典型的触发条件包括：触碰或站立在刻纹上；拿掉覆盖在刻纹上的物件；进入刻纹一定范围。刻画在物件内的刻纹其最典型的触发条件包括：打开物件；看到该刻纹。刻纹一旦被触发，则该法术终止。

你可以进一步细化触发条件以便特定生物种类才能激活之（例如将符纹设定为影响异怪）。你还可以将符合条件者排除在符纹触发者之外，例如说出特定口令的人。

爆炸符文 Explosive Rune. 符文被触发时将在半径 20 尺的球状区域内爆发魔法能量。区域内的每个生物必须进行一次敏捷豁免。豁免失败者将受到5d8点强酸、寒冷、火焰、闪电或雷鸣伤害（你在制造刻纹时指定），豁免成功则伤害减半。

法术刻文 Spell Glyph. 作为创造符文的一部分，你可以施展一道已准备的三环或更低环阶法术，并将其储备在所创造的刻纹中。所储备法术必须以单一生物或一个区域为目标，而被储存的法术以该方式施展时并不会立即生效。

符文被触发时，所储备的法术即刻生效。如果法术有一个目标，则以触发刻纹的生物为目标；如果法术影响一个区域，则该区域以此生物为中心；如果法术召唤敌对生物或创造伤害性质的物件或陷阱，则这些造物将显现在尽可能靠近触发者的地方并攻击它。如果法术需要专注，则其效应将在其最大持续时间内维持。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比三环高一环，此法术的爆炸符文的伤害就增加1d8。如果你创造一个法术刻纹，则其储备法术的环阶至高可以与你施展守卫刻文时使用的法术位环阶相同。
守护之链,PHB'24,340,2环,动作,1 小时,防护,触及,"声音, 姿势, 材料 (一对铂金戒指（每个价值 50+GP），你和目标在法术持续时间内需保持佩戴它们)","圣武士 (PHB'24), 牧师 (PHB'24)",,"战地匠师 (EFA) 奇械师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你触碰另一个自愿的生物，在法术终止前在你和目标之间建立一道神秘的连接。目标位于你身边 60 尺内时，其AC和豁免检定具有 +1 加值，且对所有伤害具有抗性。此外，每当目标受到伤害时，你也会受到同样的伤害。

如果你的生命值降至 0，或你与目标距离超过 60 尺，则该法术终止。如果再有守护之链被施展于两个已被连接生物中的任意一方时，原有的法术将立刻终止。",
安定心神,PHB'24,249,2环,动作,"专注, 至多1 分钟",惑控,60 尺,"声音, 姿势","吟游诗人 (PHB'24), 牧师 (PHB'24)",,"畸变 (PHB'24) 术士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 至高妖精 (PHB'24) 魔契师, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你指定施法距离内一点，以该点为源点半径 20 尺球状区域内的每个类人生物必须成功通过一次魅力豁免，否则将受下列效应之一影响（由你分别为每名生物选择生效的效应）。

直到法术结束，该生物免疫魅惑和恐慌状态。如果该生物已经陷入魅惑和恐慌状态，则这些状态在持续时间内被压制。该生物对你选择的之前敌对的生物态度变为冷漠。该冷漠态度持续到目标受到伤害或者看到自己的盟友受到伤害。当法术结束时，该生物恢复到原本的态度。",
完全变形术,PHB'24,335,9环,动作,"专注, 至多1 小时",变化,30 尺,"声音, 姿势, 材料 (一滴汞、一团阿拉伯胶和一缕烟)","吟游诗人 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","选择施法距离内你可见的一名生物或一个非魔法物件，你将那名生物变形成一名不同的生物或一个非魔法物件，或者那个物件变形成一名生物（物件必须并未被着装或携带）。这一转变会一直持续到持续时间结束或目标死亡/被摧毁为止；如果你为此法术维持了最长时间的专注，则法术的持续时间会延长为直至被解除。

一名非自愿生物可以进行一次感知豁免，若豁免成功则不会受此法术影响。

生物变生物 Creature into Creature. 如果你将生物变成另一种生物，则其新形态可以是你选择的挑战等级小于等于目标挑战等级或等级的任何种类。目标的游戏数据被新形态的数据所替代，但目标保留其生命值、生命值骰、阵营、性格。

目标获得等于新形态生命值的临时生命值。法术结束时其失去所有因此法术获得的临时生命值。

该生物只可做出其新形态的生理结构所允许的动作，不能说话也不能施法。

目标的装备融入新形态中。目标不能使用装备或者通过其他方式从装备中获得增益。

物件变生物 Object into Creature. 你可以将一个物件变成任何一种符合下列要求的生物：生物的体型不能大于原物件，且生物的挑战等级必须小于等于 9。变形出的生物对你和你的同伴保持友好。而战斗中它将会在你的回合之后立刻进行其回合，且遵循你的命令。

如果该法术持续时间超过 1 小时，则你将不再控制该生物。此后，该生物将根据你对待它的方式决定是否对你保持友好。

生物变物件 Creature into Object. 如果你将一名生物变形成一个物件，则它连同其穿着与携带物一起变成新的形态。变成物件的体型不能大于原生物。受术者的数据变成和该物件一样，在法术终止而受术者变回原形后，它将不会记得在变成物件时所发生的任何事情。",
完全复生术,PHB'24,336,9环,1 小时,立即,死灵,触及,"声音, 姿势, 材料 (一颗价值 25000+GP 的钻石，作为法术耗材)","德鲁伊 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你触碰一名已死，但死亡时间不超过 200 年，并非死于年老的生物，使其以生命值全满的状态回生。

此法术将治愈该生物身上的所有伤口，中和所有该生物身上的毒素，结束所有该生物身上的魔法疫病，也会移除该生物死亡时仍在生效的所有诅咒。此法术能替换所有受损或失去的器官和肢体。若生物曾是亡灵生物，则其还会恢复到其成为亡灵前的形态。

此法术还能为遗体已不存在的生物使用，并能为它再造一个新的身体。在这种情况下，你必须喊出该生物的名字。之后，该生物将出现在你指定的距你 10 尺内一处未占据空间中。",
定身怪物,PHB'24,285,5环,动作,"专注, 至多1 分钟",惑控,90 尺,"声音, 姿势, 材料 (一片直的小铁片)","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"复仇 (PHB'24) 圣武士, 战争 (PHB'24) 牧师, 海洋 (PHB'24) 德鲁伊",指定施法距离内一个你能看见的生物。该目标必须进行一次感知豁免，豁免失败则其在法术持续时间内陷入麻痹状态。目标在其每回合结束时可以重新进行这次豁免，豁免成功则终止其身上该法术的效应。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比五环高一环，你就可以额外指定一个生物作为此法术的目标。
定身类人,PHB'24,286,2环,动作,"专注, 至多1 分钟",惑控,60 尺,"声音, 姿势, 材料 (一片直的小铁片)","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"凛冬行者 (FRHoF) 游侠, 复仇 (PHB'24) 圣武士, 大地 (极地) (PHB'24) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",指定施法距离内一个你能看见的类人生物。该目标必须进行一次感知豁免，豁免失败则其在法术持续时间内陷入麻痹状态。目标在其每回合结束时可以重新进行这次豁免，豁免成功则终止其身上该法术的效应。,升环施法 Using a Higher-Level Spell Slot. 你使用的法术位每比二环高一环，就可以额外指定一个类人作为目标。
寒冰锥,PHB'24,253,5环,动作,立即,塑能,自身,"声音, 姿势, 材料 (一小块水晶或玻璃锥)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"凛冬行者 (FRHoF) 游侠, 塑能师 (PHB'24) 法师, 大地 (极地) (PHB'24) 德鲁伊, 魔炮师 (EFA) 奇械师",你释放出一团寒冷的空气。以你为源点的 60 尺锥状区域内的每名生物进行一次体质豁免。豁免失败受到8d8寒冷伤害，豁免成功则受到半数伤害。被该法术杀死的生物将成为一尊冰冻塑像直至其被解冻。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比五环高一环，法术伤害就增加1d8。
寻找陷阱,PHB'24,273,2环,动作,立即,预言,120 尺,"声音, 姿势","德鲁伊 (PHB'24), 游侠 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你感测到施法距离范围内，且在你视觉线范围内的任何陷阱。该法术的目标""陷阱""包括任何创造意图是造成伤害或其他危害的物件或装置。因此该法术可以感测警报术和守卫刻文，也可以发现某个陷坑型机械陷阱。不过它不能揭示地板的某处自然产生的脆弱点，或某处不稳定的天花板，又或是某个隐藏的陷坑。

该法术只单纯揭示陷阱的存在而不能得知陷阱的位置。不过你可以知晓所感测到陷阱其能够构成危害的大致形式。",
寻获坐骑,PHB'24,272,2环,动作,立即,咒法,30 尺,"声音, 姿势",圣武士 (PHB'24),,逸闻 (PHB'14) 吟游诗人,"你召唤某个异界存在作为忠诚坐骑，坐骑会出现在施法范围内你选择的未占据空间中。此生物使用异界坐骑的数据。如果你已经有一只以此法术获得的坐骑，则其会被新坐骑替代。

坐骑看起来像一匹大型的可骑乘动物（由你选择），比如一匹马，一头骆驼，一只恐狼或一头赤鹿。你在施展此法术时从下述三种生物类型中选择坐骑的生物类型：天族、妖精、邪魔，其数据中的特定特质由坐骑的生物类型决定。

战斗 Combat. 坐骑是你和你盟友的盟友。战斗时，它共用你的先攻，并在你骑乘它期间视同受控坐骑（如骑乘战斗规则中所定义）。如果你具有失能状态，则坐骑会在你的回合之后立刻进行自己的回合并独立行动，集中精力保护你。

坐骑的消失 Disappearance of the Steed. 坐骑在其降至0生命值或你死亡时会消失。当它消失时，它会将自己穿着或携带的任何物品留下。如果你再次施展此法术，你决定是重新召唤消失的那头坐骑还是召唤一头不同的。",升环施法 Using a Higher-Level Spell Slot. 该生物的数据使用新的法术环阶。
寻获魔宠,PHB'24,272,1环,1 小时,立即,咒法 (仪式),10 尺,"声音, 姿势, 材料 (价值 10+GP 的焚香，作为法术耗材)",法师 (PHB'24),,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你获得一只为你服务的魔宠，魔宠精魄可以采用下述你选择的动物形态之一：蝙蝠、猫、青蛙、隼、蜥蜴、章鱼、猫头鹰、老鼠、渡鸦、蜘蛛、鼬，你也可以选择其他挑战等级为0的野兽作为魔宠的形态。魔宠出现在施法距离内一处未被占据的空间，虽然有着所选的生物属性数据，但其生物类型为天族、妖精、邪魔之一（由你选择）而非野兽。你的魔宠可脱离你独立行动，不过它会一直遵循你的命令行事。

心灵连接 Telepathic Connection. 你的魔宠距你 100 尺内期间，你可以与其进行心灵交流。此外，你还能够以一个附赠动作将自己的视觉和听觉切换到魔宠的感官，并持续至你下一回合开始。在此期间，你同时享有该魔宠自身的特殊感官。

最后，当你施展施法距离为触碰的法术时，你的魔宠可以帮你传递这道触碰法术。此时你的魔宠必须距你100尺内，且在你施展这道法术时你的魔宠需要执行一个反应才能将其传递。

战斗 Combat. 魔宠是你和你盟友的盟友。战斗时，它为自己骰先攻，并在自己回合里行动。魔宠无法攻击，但是它能如常执行其他动作。

魔宠的消失 Disappearance of the Familiar. 当魔宠生命值降至0时，它会消失。它会在你再次施展此法术后重新出现。你可以用一个魔法动作，暂时解散你的魔宠，将其送入一个口袋位面。你也可以选择永久解散它。暂时解散时，你可以用一个魔法动作使其重新出现于距你30尺内任意未占空间中。当魔宠生命值归0或消失进入了口袋位面时，它都会将自己穿着或携带的任何物品留在自己曾占据的空间中。

仅限一个魔宠 One Familiar Only. 你在同一时间不能拥有多于一只魔宠。如果你在已拥有一只魔宠期间施展此法术，作为替代，你会使其采用一个新的符合条件的形态。",
寻路术,PHB'24,273,6环,1 分钟,"专注, 至多1 day",预言,自身,"声音, 姿势, 材料 (一套价值 100+GP 的预言道具、如纸牌或符文)","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你魔法性地感知到通往你所陈述地点的最直接的物理路径。你必须熟悉你所描述的地点，如果你寻找的目的地在另一存在位面，或者其会不断移动（例如一座移动堡垒），或者描述不够具体（例如""一条绿龙的巢穴""），则该法术失效。

你在法术持续时间内，只要和目的地在同一位面，就能够知晓目的地的远近和所在方向。向目的地移动并遇到岔路时，你会得知哪一条路能够最直接地通往目的地。",
